trial0000018, AA, 2128.5, 10, 212.85, 4.40, 0.00002633, 0.00000877, DFBA, 2989.25, 10, 298.93, 7.60, 0.01946010, 0.00000292, GVWY, 2224.5, 10, 222.45, 7.80, 0.00001354, 0.00000154, ZIP, 2565.75, 10, 256.57, 7.20, 0.00001719, 0.00000853
trial0000019, AA, 1975.0, 10, 197.50, 4.30, 0.00002373, 0.00000821, DFBA, 3010.0, 10, 301.00, 7.50, 0.01882973, 0.00000190, GVWY, 3155.75, 10, 315.57, 10.50, 0.00001209, 0.00000235, ZIP, 2939.25, 10, 293.93, 7.70, 0.00001622, 0.00000804
trial0000020, AA, 2387.0, 10, 238.70, 5.00, 0.00003582, 0.00000772, DFBA, 3385.5, 10, 338.55, 7.80, 0.01894412, 0.00000076, GVWY, 3174.0, 10, 317.40, 9.60, 0.00001111, 0.00000134, ZIP, 3350.5, 10, 335.05, 8.70, 0.00001675, 0.00000832
trial0000021, AA, 2251.5, 10, 225.15, 4.70, 0.00002982, 0.00001024, DFBA, 3062.75, 10, 306.27, 7.40, 0.01882360, 0.00000179, GVWY, 3641.75, 10, 364.18, 10.60, 0.00001573, 0.00000104, ZIP, 2458.0, 10, 245.80, 6.90, 0.00001400, 0.00000918
trial0000022, AA, 2737.5, 10, 273.75, 5.10, 0.00003089, 0.00000888, DFBA, 3364.0, 10, 336.40, 8.00, 0.01841593, 0.00000213, GVWY, 2811.5, 10, 281.15, 9.00, 0.00001516, 0.00000075, ZIP, 3335.0, 10, 333.50, 8.50, 0.00001879, 0.00000594
trial0000023, AA, 2286.5, 10, 228.65, 5.10, 0.00003051, 0.00001054, DFBA, 3293.5, 10, 329.35, 8.20, 0.01997077, 0.00000155, GVWY, 3165.5, 10, 316.55, 9.50, 0.00001253, 0.00000115, ZIP, 2799.5, 10, 279.95, 7.80, 0.00001758, 0.00000903
trial0000024, AA, 2403.0, 10, 240.30, 4.90, 0.00003114, 0.00001082, DFBA, 2415.75, 10, 241.57, 6.30, 0.01835734, 0.00000327, GVWY, 3147.5, 10, 314.75, 10.10, 0.00001448, 0.00000166, ZIP, 3021.75, 10, 302.18, 8.10, 0.00001799, 0.00000778
trial0000025, AA, 2386.0, 10, 238.60, 4.80, 0.00004345, 0.00001176, DFBA, 3109.0, 10, 310.90, 8.00, 0.01889362, 0.00000104, GVWY, 2924.25, 10, 292.43, 10.10, 0.00001192, 0.00000150, ZIP, 3270.75, 10, 327.07, 8.70, 0.00001990, 0.00000697
trial0000026, AA, 1858.5, 10, 185.85, 3.90, 0.00003368, 0.00001182, DFBA, 2606.75, 10, 260.68, 6.80, 0.01939921, 0.00000107, GVWY, 3091.25, 10, 309.12, 10.50, 0.00001410, 0.00000117, ZIP, 2789.5, 10, 278.95, 7.40, 0.00001710, 0.00000691
trial0000027, AA, 1790.25, 10, 179.03, 3.90, 0.00002331, 0.00001085, DFBA, 3431.5, 10, 343.15, 8.40, 0.01997261, 0.00000239, GVWY, 2976.0, 10, 297.60, 10.40, 0.00001472, 0.00000225, ZIP, 2821.25, 10, 282.12, 8.30, 0.00001852, 0.00000689
trial0000028, AA, 2318.0, 10, 231.80, 5.00, 0.00003505, 0.00001092, DFBA, 3218.75, 10, 321.88, 7.40, 0.01982099, 0.00000191, GVWY, 3092.5, 10, 309.25, 9.40, 0.00001203, 0.00000153, ZIP, 2425.75, 10, 242.57, 7.20, 0.00001537, 0.00000700
trial0000029, AA, 2382.5, 10, 238.25, 5.00, 0.00003811, 0.00001037, DFBA, 2577.25, 10, 257.73, 5.90, 0.01933707, 0.00000264, GVWY, 3097.75, 10, 309.77, 10.10, 0.00001285, 0.00000203, ZIP, 2800.5, 10, 280.05, 7.70, 0.00001566, 0.00000641
trial0000030, AA, 2272.0, 10, 227.20, 5.00, 0.00004184, 0.00000994, DFBA, 2726.5, 10, 272.65, 6.30, 0.01999862, 0.00000193, GVWY, 2991.5, 10, 299.15, 10.00, 0.00001506, 0.00000057, ZIP, 2660.0, 10, 266.00, 7.50, 0.00001972, 0.00000615
trial0000031, AA, 1914.75, 10, 191.47, 4.00, 0.00004556, 0.00001210, DFBA, 2801.5, 10, 280.15, 7.10, 0.01998123, 0.00000119, GVWY, 2966.25, 10, 296.62, 9.50, 0.00001507, 0.00000237, ZIP, 2354.5, 10, 235.45, 6.80, 0.00001490, 0.00000819
trial0000032, AA, 2444.75, 10, 244.47, 4.80, 0.00003256, 0.00000986, DFBA, 2834.5, 10, 283.45, 7.10, 0.01999722, 0.00000152, GVWY, 3538.5, 10, 353.85, 10.60, 0.00001388, 0.00000228, ZIP, 2640.25, 10, 264.02, 6.90, 0.00002093, 0.00000830
trial0000033, AA, 2450.5, 10, 245.05, 5.00, 0.00003523, 0.00001183, DFBA, 2664.0, 10, 266.40, 6.70, 0.01964882, 0.00000193, GVWY, 3391.5, 10, 339.15, 10.00, 0.00001272, 0.00000191, ZIP, 2776.0, 10, 277.60, 7.30, 0.00001752, 0.00000773
trial0000034, AA, 2370.0, 10, 237.00, 4.80, 0.00004148, 0.00000848, DFBA, 3169.5, 10, 316.95, 7.60, 0.01954068, 0.00000090, GVWY, 3367.75, 10, 336.77, 10.50, 0.00001094, 0.00000136, ZIP, 2953.75, 10, 295.38, 7.30, 0.00001900, 0.00000870
trial0000035, AA, 2296.5, 10, 229.65, 4.50, 0.00003496, 0.00000778, DFBA, 3133.25, 10, 313.32, 7.30, 0.01989358, 0.00000079, GVWY, 3388.5, 10, 338.85, 10.10, 0.00001515, 0.00000159, ZIP, 3062.75, 10, 306.27, 8.30, 0.00001828, 0.00000914
trial0000036, AA, 1841.75, 10, 184.18, 3.90, 0.00003198, 0.00000885, DFBA, 3185.75, 10, 318.57, 8.10, 0.01930079, 0.00000276, GVWY, 2955.0, 10, 295.50, 9.00, 0.00001521, 0.00000157, ZIP, 3122.5, 10, 312.25, 8.00, 0.00001852, 0.00000729
trial0000037, AA, 2176.75, 10, 217.68, 4.80, 0.00003787, 0.00001062, DFBA, 3208.75, 10, 320.88, 7.50, 0.02001687, 0.00000158, GVWY, 3414.25, 10, 341.43, 11.40, 0.00001081, 0.00000216, ZIP, 3206.25, 10, 320.62, 8.50, 0.00001734, 0.00000747
trial0000038, AA, 2911.0, 10, 291.10, 6.20, 0.00003024, 0.00000828, DFBA, 2862.0, 10, 286.20, 7.20, 0.01899598, 0.00000130, GVWY, 3150.25, 10, 315.02, 10.80, 0.00001484, 0.00000161, ZIP, 3514.75, 10, 351.48, 8.00, 0.00001568, 0.00001020
trial0000039, AA, 2299.75, 10, 229.97, 4.20, 0.00003897, 0.00001089, DFBA, 3053.75, 10, 305.38, 7.40, 0.02054925, 0.00000051, GVWY, 3239.75, 10, 323.98, 10.80, 0.00001400, 0.00000184, ZIP, 2954.75, 10, 295.48, 8.10, 0.00001754, 0.00001090
trial0000040, AA, 2497.75, 10, 249.78, 5.30, 0.00003911, 0.00001197, DFBA, 3707.75, 10, 370.77, 8.40, 0.01988772, 0.00000354, GVWY, 3216.75, 10, 321.68, 9.70, 0.00001186, 0.00000132, ZIP, 2813.75, 10, 281.38, 8.20, 0.00001569, 0.00000819
trial0000041, AA, 2336.25, 10, 233.62, 5.10, 0.00002944, 0.00000874, DFBA, 3590.5, 10, 359.05, 8.50, 0.01933823, 0.00000170, GVWY, 3450.5, 10, 345.05, 10.60, 0.00001345, 0.00000171, ZIP, 3294.75, 10, 329.48, 8.00, 0.00001483, 0.00000962
trial0000042, AA, 2229.0, 10, 222.90, 4.80, 0.00003178, 0.00000928, DFBA, 3211.25, 10, 321.12, 8.00, 0.02012703, 0.00000216, GVWY, 3283.75, 10, 328.38, 10.20, 0.00001339, 0.00000153, ZIP, 2821.0, 10, 282.10, 8.00, 0.00001763, 0.00000960
trial0000043, AA, 2330.75, 10, 233.07, 4.80, 0.00004548, 0.00000744, DFBA, 2900.0, 10, 290.00, 7.50, 0.02008494, 0.00000167, GVWY, 2884.25, 10, 288.43, 9.60, 0.00001558, 0.00000215, ZIP, 2798.0, 10, 279.80, 7.50, 0.00001535, 0.00000871
trial0000044, AA, 1669.5, 10, 166.95, 3.60, 0.00002876, 0.00000988, DFBA, 3290.25, 10, 329.02, 6.90, 0.01924907, 0.00000254, GVWY, 3086.5, 10, 308.65, 9.90, 0.00001236, 0.00000219, ZIP, 2652.75, 10, 265.27, 7.20, 0.00001882, 0.00000708
trial0000045, AA, 1787.5, 10, 178.75, 3.90, 0.00004120, 0.00000714, DFBA, 3298.0, 10, 329.80, 8.70, 0.02036982, 0.00000123, GVWY, 3032.5, 10, 303.25, 10.00, 0.00001441, 0.00000208, ZIP, 2635.0, 10, 263.50, 7.60, 0.00001780, 0.00000745
trial0000046, AA, 2724.5, 10, 272.45, 6.30, 0.00003593, 0.00000763, DFBA, 2537.5, 10, 253.75, 6.70, 0.01999045, 0.00000168, GVWY, 2864.25, 10, 286.43, 9.70, 0.00001143, 0.00000286, ZIP, 2928.75, 10, 292.88, 7.70, 0.00001633, 0.00000828
trial0000047, AA, 2371.5, 10, 237.15, 5.30, 0.00002432, 0.00001023, DFBA, 3528.75, 10, 352.88, 8.70, 0.01875945, 0.00000178, GVWY, 3098.0, 10, 309.80, 10.60, 0.00001433, 0.00000100, ZIP, 2737.75, 10, 273.77, 7.00, 0.00001664, 0.00001138
trial0000048, AA, 2644.0, 10, 264.40, 5.10, 0.00005173, 0.00001116, DFBA, 2730.5, 10, 273.05, 6.90, 0.02063883, 0.00000292, GVWY, 3202.25, 10, 320.23, 9.60, 0.00001622, 0.00000190, ZIP, 2435.25, 10, 243.53, 6.80, 0.00001717, 0.00000871
trial0000049, AA, 2545.25, 10, 254.53, 5.90, 0.00004547, 0.00001141, DFBA, 3385.75, 10, 338.57, 8.20, 0.01977304, 0.00000093, GVWY, 3150.5, 10, 315.05, 10.30, 0.00001289, 0.00000138, ZIP, 2585.5, 10, 258.55, 7.20, 0.00001738, 0.00000850
trial0000050, AA, 2600.5, 10, 260.05, 5.60, 0.00003756, 0.00000829, DFBA, 3853.0, 10, 385.30, 9.70, 0.01977520, 0.00000200, GVWY, 3016.25, 10, 301.62, 8.80, 0.00001187, 0.00000181, ZIP, 2646.25, 10, 264.62, 7.30, 0.00001906, 0.00000905
